X,rowID,studyID,arm_id,arm_des,country,city,special_pop_description,special_pop,pub_year,author,doi,sample_collection_startyear,sample_collection_startmo,sample_collection_endyear,sample_collection_endmo,pop_vac,age_min,age_max,isolate_type,isolate_col,method_1,method_2,criteria,criteria_specify,drug_class,drug,serotype,serotype_isolates,no_ns,no_res,no_res_sub,no_int,no_sus,perc_ns,perc_res,perc_int,perc_sus
NA,NA,3307,a-2006,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2006,7,2006,7,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,19F,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2008,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2008,9,2008,9,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,18C,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2006,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2006,1,2006,1,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,23F,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2007,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2007,1,2007,1,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2004,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2004,8,2004,8,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,7F,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2005,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2005,8,2005,8,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6A,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2007,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2007,4,2007,4,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,18C,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2004,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2004,7,2004,7,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6B,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2005,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2005,7,2005,7,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6B,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2005,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2005,11,2005,11,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,19F,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2004,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2004,8,2004,8,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,14,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2005,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2005,6,2005,6,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,9L,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2004,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2004,10,2004,10,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2006,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2006,6,2006,6,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,19F,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2000,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2000,11,2000,11,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,14,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2006,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2006,8,2006,8,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,16F,1,1,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,3307,a-2010,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2010,8,2010,8,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6A,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2010,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2010,1,2010,1,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6A,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2001,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2001,10,2001,10,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,23F,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2000,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2000,7,2000,7,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,6A,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2010,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2010,2,2010,2,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,5,1,0,NA,NA,NA,1,NA,NA,NA,NA
NA,NA,3307,a-2001,NA,Malawi,Blantyre,NA,0,2019,Lo SW,10.1016/S1473-3099(19)30297-X,2001,11,2001,11,NA,0,3,1,2,3,2,1,NA,penicillin,Penicillin,1,1,0,NA,NA,NA,1,NA,NA,NA,NA
