rowID,studyID,arm_id,arm_des,data_source,abstractor,country,city,special_pop_description,special_pop,pub_year,author,doi,sample_collection_startyear,sample_collection_startmo,sample_collection_endyear,sample_collection_endmo,pop_vac,age_min,age_max,isolate_type,isolate_col,method_1,method_2,criteria,criteria_specify,drug_class,drug,total_isolates_drug,no_ns,no_res,no_int,no_sus,perc_ns,perc_res,perc_int,perc_sus
,3296,,,1,B,China,Shenzhen,,0,2019,Shen,10.1186/s12879-019-4162-5,2015,6,2018,10,,0,15,1,2,1,,1,,penicillin,Penicillin,4,3,,,,0.75,,,
,3296,,,1,B,China,Shenzhen,,0,2019,Shen,10.1186/s12879-019-4162-5,2015,6,2018,10,,0,15,1,2,1,,1,,tetracycline,Tetracycline,4,,3,,,,0.75,,
,3296,,,1,B,China,Shenzhen,,0,2019,Shen,10.1186/s12879-019-4162-5,2015,6,2018,10,,0,15,1,2,1,,1,,SXT,SXT,4,,3,,,,0.75,,
,3303,,,1,B,Bangladesh,,,0,2019,Malaker,10.1097/INF.0000000000002386,2013,6,2015,3,,0,18,1,2,1,,1,,penicillin,Penicillin,33,0,,,33,0,,,1
,3303,,,1,B,Bangladesh,,,0,2019,Malaker,10.1097/INF.0000000000002386,2013,6,2015,3,,0,18,1,2,1,,1,,3gen_cephalosporin,Ceftriaxone,33,0,,,33,0,,,1
,3303,,,1,B,Bangladesh,,,0,2019,Malaker,10.1097/INF.0000000000002386,2013,6,2015,3,,0,18,1,2,1,,1,,ciprofloxacin,Ciprofloxacin,33,2,,,31,0.060606061,,,0.939393939
,3303,,,1,B,Bangladesh,,,0,2019,Malaker,10.1097/INF.0000000000002386,2013,6,2015,3,,0,18,1,2,1,,1,,macrolide,Erythromycin,33,17,,,16,0.515151515,,,0.484848485
,3303,,,1,B,Bangladesh,,,0,2019,Malaker,10.1097/INF.0000000000002386,2013,6,2015,3,,0,18,1,2,1,,1,,SXT,SXT,33,26,,,7,0.787878788,,,0.212121212
,3387,,,1,B,Poland,,,0,2019,Polkowska,10.1016/j.vaccine.2018.12.028,2005,1,2015,12,,0,5,1,2,2,,1,,penicillin,Penicillin,110,58,,,52,0.527272727,,,0.472727273
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,penicillin,Penicillin,12,0,,,12,0,,,1
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,vancomycin,Vancomycin,11,0,,,11,0,,,1
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,macrolide,Erythromycin,11,2,,,9,0.181818182,,,0.818181818
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,3gen_cephalosporin,Ceftriaxone,2,0,,,2,0,,,1
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,3gen_cephalosporin,Cefotaxime,1,0,,,1,0,,,1
,3395,,,1,B,Australia,,,0,2019,Shakur,10.1007/s12519-018-00221-3,2011,1,2014,8,,0,16,1,2,7,,3,,tetracycline,Tetracycline,11,1,,,10,0.090909091,,,0.909090909
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,penicillin,Penicillin,51,,14,,,,0.274509804,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,penicillin,Amoxicillin,51,,4,,,,0.078431373,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,3gen_cephalosporin,Cefotaxime,51,,8,,,,0.156862745,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,macrolide,Erythromycin,51,,49,,,,0.960784314,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,lincosamides,Clindamycin,51,,42,,,,0.823529412,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,tetracycline,Tetracycline,51,,23,,,,0.450980392,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,vancomycin,Vancomycin,51,,0,,,,0,,
,3396,,,1,B,China,,,0,2019,Yan,10.1016/j.vaccine.2018.12.021,2014,1,2016,1,,1,12,1,2,7,,1,,SXT,SXT,51,,32,,,,0.62745098,,
